,clue,solution,spiegazione
50,"alpi, dalla, razzo, avanzato, coro",stadio,"1. Alpi: Lo stadio delle Alpi è un'espressione che si usa per descrivere uno stadio di calcio che si trova nelle Alpi, una catena montuosa che si estende attraverso l'Europa centrale e meridionale.
2. Dalla: Lo stadio dalla A alla Z è un'espressione che si usa per descrivere un percorso o un processo che include tutte le fasi o le tappe, dall'inizio alla fine.
3. Razzo: Lo stadio del razzo è un'espressione che si usa per descrivere una fase o una tappa del volo di un razzo, come il lancio, la salita o la separazione dei booster.
4. Avanzato: Lo stadio avanzato è un'espressione che si usa per descrivere una fase o una tappa di un processo o di un progetto che è più sviluppato o più sofisticato delle fasi precedenti.
5. Coro: Lo stadio del coro è un'espressione che si usa per descrivere una parte o una sezione di uno stadio in cui si trova il coro, un gruppo di tifosi che cantano e che sostengono la propria squadra.</s>"
51,"fiorentina, fine, due, toto cutugno, getta la spugna",secondo,"1. Fiorentina: Il secondo tempo della Fiorentina è un'espressione che si usa per descrivere la seconda metà di una partita di calcio che si gioca a Firenze, la città dove si trova la squadra della Fiorentina.
2. Fine: Il secondo fine è un'espressione che si usa per descrivere un obiettivo o un scopo che è secondario o meno importante rispetto al primo fine.
3. Due: Il secondo due è un'espressione che si usa per descrivere il numero due, che è il secondo numero dopo il numero uno.
4. Toto Cutugno: Il secondo me è un'espressione che si usa per descrivere una canzone di Toto Cutugno che ha come titolo ""Il tempo se ne va"", e che parla del passare del tempo e del desiderio di vivere ogni momento con intensità.
5. Getta la spugna: Il secondo round è un'espressione che si usa per descrivere un round di un incontro di pugilato che è il secondo round, e che può essere decisivo per la vittoria o la sconfitta di uno dei due pugili. Se uno dei due pugili getta la spugna, significa che ha abbandonato la lotta e che ha riconosciuto la sconfitta.</s>"
52,"sangue, tagliare, bianco, autunno, tavola",vino,"1. Sangue: Il vino rosso è un'espressione che si usa per descrivere un vino che ha un colore rosso intenso, a causa della presenza di sostanze chimiche come l'antocianina, che si trovano nel sangue delle uve.
2. Tagliare: Il vino tagliato è un'espressione che si usa per descrivere un vino che è ottenuto mescolando due o più varietà di uve, come il Cabernet Sauvignon e il Merlot, per creare un vino più bilanciato e armonioso.
3. Bianco: Il vino bianco è un'espressione che si usa per descrivere un vino che ha un colore giallo paglierino o dorato, a causa della presenza di sostanze chimiche come la flavanina, che si trovano nella buccia delle uve bianche.
4. Autunno: Il vino novello è un'espressione che si usa per descrivere un vino che è prodotto con uve fresche e che è imbottigliato subito dopo la fermentazione, in modo da preservare i suoi aromi e i suoi sapori freschi e fruttati, come quelli del vino novello dell'autunno.
5. Tavola: Il vino della tavola è un'espressione che si usa per descrivere un vino che è adatto per accompagnare i pasti, e che è servito in tavola durante i pasti, come il vino della tavola della cena o del pranzo.</s>"
53,"tiro, vela, caduta, capire, piano",volo,"1. Tiro: Il volo di tiro è un'espressione che si usa per descrivere un volo che è effettuato con un aereo da caccia o da combattimento, e che ha come obiettivo il tiro a bersagli a terra o in aria.
2. Vela: Il volo a vela è un'espressione che si usa per descrivere un volo che è effettuato con un aliante o con un deltaplano, e che sfrutta le correnti ascensionali per mantenere il volo e per coprire grandi distanze.
3. Caduta: Il volo di caduta libera è un'espressione che si usa per descrivere un volo che è effettuato senza paracadute o senza alcun mezzo di sostentamento, e che si conclude con una caduta libera verso il suolo.
4. Capire: Il volo di capire è un'espressione che si usa per descrivere un volo che è effettuato con la mente, e che ha come obiettivo la comprensione di un fenomeno o di una situazione, come il volo di capire il significato di una parola o di un concetto.
5. Piano: Il volo di piano è un'espressione che si usa per descrivere un volo che è effettuato con un aereo da turismo o con un aliante, e che ha come obiettivo il piacere di volare e di ammirare il paesaggio da una prospettiva unica e suggestiva.</s>"
54,"frutta, carattere, pagare, scherzo, lucrezio",natura,"1. Frutta: La natura della frutta è un'espressione che si usa per descrivere le caratteristiche e le proprietà della frutta, come il suo sapore, il suo aroma, il suo colore e la sua consistenza.
2. Carattere: Il carattere della natura è un'espressione che si usa per descrivere le caratteristiche e le proprietà della natura, come la sua bellezza, la sua diversità, la sua complessità e la sua armonia.
3. Pagare: Il prezzo della natura è un'espressione che si usa per descrivere il costo che l'umanità deve sostenere per sfruttare e per alterare la natura, come il costo ambientale, economico e sociale della deforestazione, dell'inquinamento e del cambiamento climatico.
4. Scherzo: Il gioco della natura è un'espressione che si usa per descrivere i fenomeni naturali che possono sembrare bizzarri o incomprensibili, come il gioco della natura che fa crescere un albero in una forma insolita o che produce un frutto con un sapore particolare.
5. Lucrezio: La natura di Lucrezio è un'espressione che si usa per descrivere le idee e le opinioni di Lucrezio, un poeta e filosofo romano che ha scritto un poema epico intitolato ""De rerum natura"" (Sulla natura delle cose), in cui ha descritto la sua visione materialista e ateista del mondo.</s>"
55,"visita, buio, cascata, gioia, lungo",salto,"1. Visita: Il salto della visita è un'espressione che si usa per descrivere un salto che si fa durante una visita, come il salto della visita al parco divertimenti o al parco acquatico, dove si possono trovare molte attrazioni che richiedono un salto, come il salto della visita al trampolino o al bungee jumping.
2. Buio: Il salto nel buio è un'espressione che si usa per descrivere un salto che si fa senza avere una chiara visione del futuro o del risultato, come il salto nel buio che si fa quando si cambia lavoro o quando si decide di intraprendere una nuova avventura.
3. Cascata: Il salto della cascata è un'espressione che si usa per descrivere un salto che si fa da una cascata, come il salto della cascata che si fa con una tavola da surf o con un kayak, o il salto della cascata che si fa con un paracadute o con un deltaplano.
4. Gioia: Il salto della gioia è un'espressione che si usa per descrivere un salto che si fa per esprimere la gioia o l'entusiasmo, come il salto della gioia che si fa quando si vince una partita o quando si raggiunge un obiettivo importante.
5. Lungo: Il salto lungo è un'espressione che si usa per descrivere un salto che ha una lunghezza superiore alla media, come il salto lungo che si fa nel salto in lungo o nel salto con l'asta, o il salto lungo che si fa con una mountain bike o con uno snowboard.</s>"
56,"secondo, barba, codice, concerto, mimì",onore,"1. Secondo: L'onore del secondo è un'espressione che si usa per descrivere il ruolo e le responsabilità del secondo in una gerarchia o in una organizzazione, come il secondo in comando o il secondo di bordo.
2. Barba: L'onore della barba è un'espressione che si usa per descrivere il rispetto e l'ammirazione che si hanno per una persona barbuta, come il nonno o il saggio, che simboleggia la saggezza e l'esperienza.
3. Codice: L'onore del codice è un'espressione che si usa per descrivere il rispetto e l'osservanza di un codice etico o di un codice di condotta, come il codice d'onore dei samurai o il codice deontologico dei giornalisti.
4. Concerto: L'onore del concerto è un'espressione che si usa per descrivere un concerto che è dedicato a una persona o a un'occasione speciale, come il concerto d'onore che si fa per celebrare un anniversario o un traguardo importante.
5. Mimì: L'onore di Mimì è un'espressione che si usa per descrivere il ruolo e le responsabilità di Mimì, un personaggio dell'opera ""La bohème"" di Giacomo Puccini, che è una cantante e una cortigiana che cerca l'amore e la felicità nella Parigi bohémienne.</s>"
57,"gola, tirare, foglia, carne, magra",secca,"1. Gola: La gola secca è un'espressione che si usa per descrivere una sensazione di secchezza o di disidratazione della gola, come la gola secca che si avverte quando si ha la febbre o quando si è disidratati.
2. Tirare: La secca di tirare è un'espressione che si usa per descrivere una secca che si verifica quando si tira una corda o una fune, come la secca di tirare che si verifica quando si tira una fune per sollevare un oggetto pesante.
3. Foglia: La secca delle foglie è un'espressione che si usa per descrivere il periodo dell'anno in cui le foglie cadono dagli alberi, come la secca delle foglie che si verifica in autunno.
4. Carne: La secca della carne è un'espressione che si usa per descrivere una carne che è stata essiccata o disidratata, come la secca della carne che si usa per fare il prosciutto o il salame.
5. Magra: La secca magra è un'espressione che si usa per descrivere una secca che si verifica quando manca l'acqua o il liquido, come la secca magra che si verifica in un fiume o in un lago durante la stagione secca.</s>"
58,"sempre, autostrada, rai tre, irlanda, dollaro",verde,"1. Sempre: Il verde sempre è un'espressione che si usa per descrivere un colore che è sempre presente in natura, come il verde delle piante e degli alberi, che simboleggia la vita e la crescita.
2. Autostrada: Il verde dell'autostrada è un'espressione che si usa per descrivere il colore della segnaletica orizzontale che indica la corsia di sorpasso o la corsia di emergenza, come il verde dell'autostrada che si vede in Italia.
3. Rai Tre: Il verde di Rai Tre è un'espressione che si usa per descrivere il colore del logo e della grafica di Rai Tre, un canale televisivo italiano che trasmette programmi culturali e informativi.
4. Irlanda: Il verde d'Irlanda è un'espressione che si usa per descrivere il colore della bandiera irlandese, che ha tre bande orizzontali di colore verde, bianco e arancione, e che simboleggia la speranza, la purezza e la devozione.
5. Dollaro: Il verde del dollaro è un'espressione che si usa per descrivere il colore della banconota da un dollaro statunitense, che ha una striscia verticale di colore verde sulla destra, e che simboleggia la prosperità e la ricchezza.</s>"
59,"tenore, professore, organo, cambiare, ufficio",registro,"1. Tenore: Il registro del tenore è un'espressione che si usa per descrivere la gamma di note che un tenore può cantare, come il registro del tenore che si trova nella zona acuta della voce maschile.
2. Professore: Il registro del professore è un'espressione che si usa per descrivere il tono e lo stile di un professore, come il registro del professore che è formale e autorevole, o il registro del professore che è informale e amichevole.
3. Organo: Il registro dell'organo è un'espressione che si usa per descrivere i diversi suoni e timbri che un organo può produrre, come il registro dell'organo che è dolce e delicato, o il registro dell'organo che è forte e potente.
4. Cambiare: Il registro di cambiare è un'espressione che si usa per descrivere il processo di cambiare il registro o la modalità di un dispositivo o di un sistema, come il registro di cambiare che si verifica quando si passa da una modalità di risparmio energetico a una modalità di massima potenza.
5. Ufficio: Il registro dell'ufficio è un'espressione che si usa per descrivere il linguaggio e il tono che si usano in un ufficio, come il registro dell'ufficio che è formale e professionale, o il registro dell'ufficio che è informale e amichevole.</s>"
60,"a, buona, colori, neve, fredda",tavola,"1. A: La tavola a colori è un'espressione che si usa per descrivere una tavola che ha diverse sezioni o aree di colore, come la tavola a colori che si usa per creare una grafica o un'immagine.
2. Buona: La tavola buona è un'espressione che si usa per descrivere una tavola che è ben apparecchiata e che è pronta per essere utilizzata, come la tavola buona che si usa per una cena o un pranzo in famiglia.
3. Colori: La tavola dei colori è un'espressione che si usa per descrivere una tavola che ha diverse tonalità o sfumature di colore, come la tavola dei colori che si usa per creare una palette o un schema di colori.
4. Neve: La tavola della neve è un'espressione che si usa per descrivere una tavola che è ricoperta di neve, come la tavola della neve che si vede in montagna o in campagna durante l'inverno.
5. Fredda: La tavola fredda è un'espressione che si usa per descrivere una tavola che non ha cibo caldo o bevande calde, come la tavola fredda che si serve in un buffet o in un rinfresco.</s>"
